experiment_id,experiment_name,model,fine_tuning,method,balancing,fold,train_file,validation_file,test_file,train_size,train_trace,train_no_trace,validation_size,validation_trace,validation_no_trace,test_size,test_trace,test_no_trace,accuracy,trace_precision,trace_recall,trace_f1,no_trace_precision,no_trace_recall,no_trace_f1,confusion_matrix,valid_predictions,invalid_predictions,metrics_file,predictions_file,config_file,output_dir,notes
E0,Base Qwen3.5-9B no fine-tuning,Qwen/Qwen3.5-9B,No,zero-shot / no fine-tuning,none,fold_01,,,data/qwen35_oversampling_10fold_cv/folds/fold_01/test.jsonl,,,,,,,189,76,113,0.6417112299465241,1.0,0.0945945945945946,0.1728395061728395,0.6277777777777778,1.0,0.7713310580204779,"[[7, 67], [0, 113]]",187,2,results/qwen35_9b_base_10fold_cv_no_ft/fold_01/fold_01_metrics.json,results/qwen35_9b_base_10fold_cv_no_ft/fold_01/fold_01_predictions.csv,,,Base model evaluated directly on the same 10 held-out test folds. No training was performed.
E0,Base Qwen3.5-9B no fine-tuning,Qwen/Qwen3.5-9B,No,zero-shot / no fine-tuning,none,fold_02,,,data/qwen35_oversampling_10fold_cv/folds/fold_02/test.jsonl,,,,,,,189,76,113,0.6432432432432432,1.0,0.08333333333333333,0.15384615384615385,0.6312849162011173,1.0,0.773972602739726,"[[6, 66], [0, 113]]",185,4,results/qwen35_9b_base_10fold_cv_no_ft/fold_02/fold_02_metrics.json,results/qwen35_9b_base_10fold_cv_no_ft/fold_02/fold_02_predictions.csv,,,Base model evaluated directly on the same 10 held-out test folds. No training was performed.
E0,Base Qwen3.5-9B no fine-tuning,Qwen/Qwen3.5-9B,No,zero-shot / no fine-tuning,none,fold_03,,,data/qwen35_oversampling_10fold_cv/folds/fold_03/test.jsonl,,,,,,,189,76,113,0.6304347826086957,1.0,0.04225352112676056,0.08108108108108109,0.6243093922651933,1.0,0.7687074829931972,"[[3, 68], [0, 113]]",184,5,results/qwen35_9b_base_10fold_cv_no_ft/fold_03/fold_03_metrics.json,results/qwen35_9b_base_10fold_cv_no_ft/fold_03/fold_03_predictions.csv,,,Base model evaluated directly on the same 10 held-out test folds. No training was performed.
E0,Base Qwen3.5-9B no fine-tuning,Qwen/Qwen3.5-9B,No,zero-shot / no fine-tuning,none,fold_04,,,data/qwen35_oversampling_10fold_cv/folds/fold_04/test.jsonl,,,,,,,189,76,113,0.6630434782608695,1.0,0.1388888888888889,0.24390243902439024,0.6436781609195402,1.0,0.7832167832167832,"[[10, 62], [0, 112]]",184,5,results/qwen35_9b_base_10fold_cv_no_ft/fold_04/fold_04_metrics.json,results/qwen35_9b_base_10fold_cv_no_ft/fold_04/fold_04_predictions.csv,,,Base model evaluated directly on the same 10 held-out test folds. No training was performed.
E0,Base Qwen3.5-9B no fine-tuning,Qwen/Qwen3.5-9B,No,zero-shot / no fine-tuning,none,fold_05,,,data/qwen35_oversampling_10fold_cv/folds/fold_05/test.jsonl,,,,,,,189,76,113,0.644808743169399,1.0,0.07142857142857142,0.13333333333333333,0.6348314606741573,1.0,0.7766323024054983,"[[5, 65], [0, 113]]",183,6,results/qwen35_9b_base_10fold_cv_no_ft/fold_05/fold_05_metrics.json,results/qwen35_9b_base_10fold_cv_no_ft/fold_05/fold_05_predictions.csv,,,Base model evaluated directly on the same 10 held-out test folds. No training was performed.
E0,Base Qwen3.5-9B no fine-tuning,Qwen/Qwen3.5-9B,No,zero-shot / no fine-tuning,none,fold_06,,,data/qwen35_oversampling_10fold_cv/folds/fold_06/test.jsonl,,,,,,,189,76,113,0.639344262295082,1.0,0.05714285714285714,0.10810810810810811,0.6312849162011173,1.0,0.773972602739726,"[[4, 66], [0, 113]]",183,6,results/qwen35_9b_base_10fold_cv_no_ft/fold_06/fold_06_metrics.json,results/qwen35_9b_base_10fold_cv_no_ft/fold_06/fold_06_predictions.csv,,,Base model evaluated directly on the same 10 held-out test folds. No training was performed.
E0,Base Qwen3.5-9B no fine-tuning,Qwen/Qwen3.5-9B,No,zero-shot / no fine-tuning,none,fold_07,,,data/qwen35_oversampling_10fold_cv/folds/fold_07/test.jsonl,,,,,,,189,76,113,0.6310160427807486,1.0,0.06756756756756757,0.12658227848101267,0.6208791208791209,1.0,0.7661016949152543,"[[5, 69], [0, 113]]",187,2,results/qwen35_9b_base_10fold_cv_no_ft/fold_07/fold_07_metrics.json,results/qwen35_9b_base_10fold_cv_no_ft/fold_07/fold_07_predictions.csv,,,Base model evaluated directly on the same 10 held-out test folds. No training was performed.
E0,Base Qwen3.5-9B no fine-tuning,Qwen/Qwen3.5-9B,No,zero-shot / no fine-tuning,none,fold_08,,,data/qwen35_oversampling_10fold_cv/folds/fold_08/test.jsonl,,,,,,,188,75,113,0.6432432432432432,1.0,0.08333333333333333,0.15384615384615385,0.6312849162011173,1.0,0.773972602739726,"[[6, 66], [0, 113]]",185,3,results/qwen35_9b_base_10fold_cv_no_ft/fold_08/fold_08_metrics.json,results/qwen35_9b_base_10fold_cv_no_ft/fold_08/fold_08_predictions.csv,,,Base model evaluated directly on the same 10 held-out test folds. No training was performed.
E0,Base Qwen3.5-9B no fine-tuning,Qwen/Qwen3.5-9B,No,zero-shot / no fine-tuning,none,fold_09,,,data/qwen35_oversampling_10fold_cv/folds/fold_09/test.jsonl,,,,,,,188,75,113,0.6538461538461539,1.0,0.08695652173913043,0.16,0.6420454545454546,1.0,0.7820069204152249,"[[6, 63], [0, 113]]",182,6,results/qwen35_9b_base_10fold_cv_no_ft/fold_09/fold_09_metrics.json,results/qwen35_9b_base_10fold_cv_no_ft/fold_09/fold_09_predictions.csv,,,Base model evaluated directly on the same 10 held-out test folds. No training was performed.
E0,Base Qwen3.5-9B no fine-tuning,Qwen/Qwen3.5-9B,No,zero-shot / no fine-tuning,none,fold_10,,,data/qwen35_oversampling_10fold_cv/folds/fold_10/test.jsonl,,,,,,,188,75,113,0.6304347826086957,1.0,0.04225352112676056,0.08108108108108109,0.6243093922651933,1.0,0.7687074829931972,"[[3, 68], [0, 113]]",184,4,results/qwen35_9b_base_10fold_cv_no_ft/fold_10/fold_10_metrics.json,results/qwen35_9b_base_10fold_cv_no_ft/fold_10/fold_10_predictions.csv,,,Base model evaluated directly on the same 10 held-out test folds. No training was performed.
E1,Qwen3.5-9B QLoRA with oversampling,Qwen/Qwen3.5-9B,Yes,QLoRA,random oversampling with replacement,fold_01,data/qwen35_oversampling_10fold_cv/inner_splits/fold_01/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_01/validation.jsonl,data/qwen35_oversampling_10fold_cv/folds/fold_01/test.jsonl,1830,915,915,170,68,102,189,76,113,0.91005291005291,0.9538461538461539,0.8157894736842105,0.8794326241134752,0.8870967741935484,0.9734513274336283,0.9282700421940928,"[[62, 14], [3, 110]]",189,0,results/qwen35_9b_qlora_oversampling_10fold_cv_inner_val/fold_01/fold_01_metrics.json,results/qwen35_9b_qlora_oversampling_10fold_cv_inner_val/fold_01/fold_01_predictions.csv,src/integration/training_scripts/ft/config_qwen35_9b_10fold_cv_inner_val_fold_01.yaml,outputs/qwen35_9b_qlora_oversampling_10fold_cv_inner_val/fold_01,Minority trace class was duplicated only in inner_train. Validation and test remained untouched.
